产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
食用油脂及其制品-->食用植物油,食用调和油,建三江管理局家乐购,黑龙江市场监管局,合格,2015-02-04,,900ml/瓶,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,建三江管理局家乐购,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476593
食用油脂及其制品-->食用植物油,A+E纯香营养强化大豆油,建三江管理局家乐购,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,金龙鱼,嘉里粮油（营口）有限公司,,建三江管理局家乐购,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476594
食用油脂及其制品-->食用植物油,大豆油,双鸭山市奇特超市有限责任公司五环店,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,福临门,中粮北海粮油工业（天津）有限公司沈阳第一分公司,,双鸭山市奇特超市有限责任公司五环店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476595
食用油脂及其制品-->食用植物油,正全禾笨榨豆油,双鸭山市奇特超市有限责任公司五环店,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,,七台河市川河油脂有限公司,,双鸭山市奇特超市有限责任公司五环店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476596
食用油脂及其制品-->食用植物油,寒琪笨榨大豆油,北安市忠民粮油加工厂,黑龙江市场监管局,不合格,2015-02-04,,1.8L/桶,寒琪,北安市忠民粮油加工厂,,北安市忠民粮油加工厂,,黑龙江市场监管局,,2015-02-04,酸价,"6.2[(KOH),mg/g]","≤1.0 [(KOH),mg/g]",依法进行处理,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75601
食用油脂及其制品-->食用植物油,笨榨大豆油,北安市忠民粮油加工厂,黑龙江市场监管局,不合格,2015-02-04,,4.5L/桶,寒琪,北安市忠民粮油加工厂,,北安市忠民粮油加工厂,,黑龙江市场监管局,,2015-02-04,酸价,"2.5[(KOH),mg/g]","≤1.0 [(KOH),mg/g]",依法进行处理,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75602
食用油脂及其制品-->食用植物油,四海纯香大豆油,抚远县平步青云超市,黑龙江市场监管局,合格,2015-02-04,,5L/桶,,中粮北海粮油工业（天津）有限公司沈阳第一分公司（分装）,,抚远县平步青云超市,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476582
食用油脂及其制品-->食用植物油,葵花籽油,黑龙江比优特商贸有限责任公司时代广场分公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,福临门,中粮佳悦（天津）有限公司,,黑龙江比优特商贸有限责任公司时代广场分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476583
食用油脂及其制品-->食用植物油,玉米油,黑龙江比优特商贸有限责任公司时代广场分公司,黑龙江市场监管局,合格,2015-02-04,,5L/桶,口福,秦皇岛金海食品工业,,黑龙江比优特商贸有限责任公司时代广场分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476584
食用油脂及其制品-->食用植物油,大豆油,黑龙江比优特商贸有限责任公司时代广场分公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,黑龙江比优特商贸有限责任公司时代广场分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476585
食用油脂及其制品-->食用植物油,芝麻油,北安润泰商业有限公司,黑龙江市场监管局,合格,2015-02-04,,405ml/瓶,太太乐,驻马店顶志食品,,北安润泰商业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476586
